Ticker,Date,Viajes_por_dia,Pasajeros_por_dia,Distancia_millas,borough,Tipo_de_taxi,Model,CO2_Emissions_lb_mill,FuelConsumption_City _L_mill,CO2_Trip_Lb,Fuel_Trip_Lt
AIMPEC,13/02/2022,814,707,3764.19,Brooklyn,yellow,2019,0.99,8.59,3726.548,32334.392
AIMPEC,14/02/2022,7928,10876,97035.23,Queens,yellow,2019,0.99,8.59,96064.878,833532.626
AIMPEC,14/02/2022,100331,132167,671907.43,Manhattan,yellow,2019,0.99,8.59,665188.356,5771684.824
AIMPEC,15/02/2022,9,16,0,EWR,yellow,2019,0.99,8.59,0,0
AIMPEC,15/02/2022,101342,130748,948400.57,Manhattan,yellow,2019,0.99,8.59,938916.564,8146760.896
AIMPEC,15/02/2022,8,8,110.7,Staten Island,yellow,2019,0.99,8.59,109.593,950.913
AIMPEC,18/02/2022,9,9,69,Staten Island,yellow,2019,0.99,8.59,68.31,592.71
AIMPEC,18/02/2022,8390,12352,102482.48,Queens,yellow,2019,0.99,8.59,101457.655,880324.503
AIMPEC,20/02/2022,7979,11267,99556.53,Queens,yellow,2019,0.99,8.59,98560.965,855190.593
AIMPEC,20/02/2022,680,685,3176.82,Brooklyn,yellow,2019,0.99,8.59,3145.052,27288.884
AIMPEC,20/02/2022,75,78,367.95,Bronx,yellow,2019,0.99,8.59,364.27,3160.69
AIMPEC,22/02/2022,525,558,2666.37,Brooklyn,yellow,2019,0.99,8.59,2639.706,22904.118
AIMPEC,22/02/2022,15,19,4.69,EWR,yellow,2019,0.99,8.59,4.643,40.287
AIMPEC,23/02/2022,8198,11588,100132.59,Queens,yellow,2019,0.99,8.59,99131.264,860138.948
AIMPEC,24/02/2022,8,9,57.9,Staten Island,yellow,2019,0.99,8.59,57.321,497.361
AIMPEC,25/02/2022,137,137,68037.51,Bronx,yellow,2019,0.99,8.59,67357.135,584442.211
AIMPEC,26/02/2022,112804,159294,463099.78,Manhattan,yellow,2019,0.99,8.59,458468.782,3978027.11
AIMPEC,27/02/2022,22,42,0,EWR,yellow,2019,0.99,8.59,0,0
AIMPEC,27/02/2022,88259,124402,895461.82,Manhattan,yellow,2019,0.99,8.59,886507.202,7692017.034
AIMPEC,28/02/2022,1,1,0.89,Brooklyn,yellow,2019,0.99,8.59,0.881,7.645
AIMPEC,28/02/2022,630,658,3076.59,Brooklyn,yellow,2019,0.99,8.59,3045.824,26427.908
AIMPEC,28/02/2022,163,168,840.09,Bronx,yellow,2019,0.99,8.59,831.689,7216.373
AIMPEC,01/03/2022,8,8,133.5,Staten Island,yellow,2019,0.99,8.59,132.165,1146.765
AIMPEC,03/03/2022,10,10,70.06,Staten Island,yellow,2019,0.99,8.59,69.359,601.815
AIMPEC,03/03/2022,8612,12190,105110.74,Queens,yellow,2019,0.99,8.59,104059.633,902901.257
AIMPEC,04/03/2022,8537,12056,314328.6,Queens,yellow,2019,0.99,8.59,311185.314,2700082.674
AIMPEC,05/03/2022,12,25,1.3,EWR,yellow,2019,0.99,8.59,1.287,11.167
AIMPEC,05/03/2022,10,12,60.19,Staten Island,yellow,2019,0.99,8.59,59.588,517.032
AIMPEC,05/03/2022,126,132,598.55,Bronx,yellow,2019,0.99,8.59,592.564,5141.544
AIMPEC,06/03/2022,10082,14072,127946.4,Queens,yellow,2019,0.99,8.59,126666.936,1099059.576
AIMPEC,08/03/2022,2,2,25,Staten Island,yellow,2019,0.99,8.59,24.75,214.75
AIMPEC,09/03/2022,117,126,651.5,Bronx,yellow,2019,0.99,8.59,644.985,5596.385
AIMPEC,09/03/2022,17,24,1.13,EWR,yellow,2019,0.99,8.59,1.119,9.707
AIMPEC,09/03/2022,1,4,2.88,Manhattan,yellow,2019,0.99,8.59,2.851,24.739
AIMPEC,10/03/2022,5,5,32.06,Staten Island,yellow,2019,0.99,8.59,31.739,275.395
AIMPEC,11/03/2022,25,34,84.06,EWR,yellow,2019,0.99,8.59,83.219,722.075
AIMPEC,12/03/2022,847,830,3975.87,Brooklyn,yellow,2019,0.99,8.59,3936.111,34152.723
AIMPEC,12/03/2022,123,133,546.42,Bronx,yellow,2019,0.99,8.59,540.956,4693.748
AIMPEC,13/03/2022,28,48,17.36,EWR,yellow,2019,0.99,8.59,17.186,149.122
