Fecha,Pasajeros por dia,Viajes por dia,Tarifario por dia,Total recaudado por dia,Pago con tarjeta,Pago con efectivo,Tipo de Taxi
2019-07-27,19192,15805,227924.73,273488.77,7418,7253,green
2019-07-28,16671,13653,199139.59,237852.83000000002,6590,5949,green
2019-07-29,16415,14080,206357.16,247992.01,6999,5591,green
2019-07-30,17514,14878,221675.75,265936.66,7692,5752,green
2019-07-31,18126,15264,228521.9,274467.7,8254,5647,green
2019-07-31,2,2,18.5,23.1,1,1,green
2019-08-01,18,11,95.5,110.26,2,9,green
2019-08-01,19209,16317,248948.67,297820.61,8521,6287,green
2019-08-02,20230,16996,255563.09,305000.4,8387,7156,green
2019-08-03,19210,15784,225386.5,268991.36,7235,7317,green
2019-08-04,16368,13605,199873.78,238427.42,6394,5815,green
2019-08-05,16469,13945,216661.71,258132.86000000002,6898,5559,green
2019-08-06,17234,14605,227664.17,272544.21,7563,5463,green
2019-08-07,17754,15406,231718.68,279006.85,7995,5559,green
2019-08-08,18531,15929,242632.56,291353.3,8012,6136,green
2019-08-09,18964,16379,248013.77,297903.49,7754,6682,green
2019-08-10,17441,15021,222537.75,265173.71,6582,6871,green
2019-08-11,12013,9995,144519.19,173334.12,4811,4342,green
2019-08-12,14165,12749,193813.02,232314.21,5894,5089,green
2019-08-13,15480,13804,206182.82,249331.1,6774,5183,green
2019-08-14,16086,14678,223220.91,268107.55,6880,5587,green
2019-08-15,17199,15166,232475.13,279786.94,7463,5651,green
2019-08-16,17561,15761,233491.19,281428.67,7598,6283,green
2019-08-17,17806,15182,218545.66,261398.28,6804,6894,green
2019-08-18,15751,13093,194196.55,231811.30000000002,5876,5689,green
2019-08-19,15018,13122,200643.82,241017.02,6043,5281,green
2019-08-20,15889,13891,209982.07,253839.02,6613,5329,green
2019-08-21,16320,14586,223422.24,269536.07,7025,5264,green
2019-08-22,17204,15461,234343.43,282254.39,7354,5775,green
2019-08-23,17633,15260,224296.63,270762.81,7320,6162,green
2019-08-24,17304,14248,212711.25,254256.56,6519,6354,green
2019-08-25,14343,12206,181312.61,217098.08000000002,5765,5141,green
2019-08-26,15224,13157,202600.86,244852.02,6149,5288,green
2019-08-27,4,4,27.0,32.2,1,3,green
2019-08-27,15204,13820,224042.83,270504.76,6672,5059,green
2019-08-28,16326,14622,229078.21,277605.55,7179,5234,green
2019-08-29,16879,15061,242731.34,293186.29,7260,5503,green
2019-08-30,18258,15794,243232.15,293080.87,7341,6558,green
2019-08-31,17020,14016,214435.21,256736.02,6128,6548,green
2019-08-31,23,18,263.5,339.89,13,5,green
2019-09-01,15120,12725,203098.78,243072.9,5789,5365,green
2019-09-01,16,10,118.0,153.67,7,3,green
2019-09-02,12149,9925,150624.16,183945.66,5082,3992,green
2019-09-03,16650,14420,229094.43,276262.55,6823,5717,green
2019-09-04,17266,15479,247967.11,299168.21,7370,5881,green
2019-09-05,17764,15974,256754.55,310424.73,7811,5866,green
2019-09-06,18918,16589,250520.38,302955.38,8114,6546,green
2019-09-07,18654,15316,224587.18,270746.73,7300,6601,green
2019-09-08,15717,13175,208158.83,250096.29,6393,5360,green
2019-09-09,15571,14212,218722.8,262852.34,6842,5281,green
2019-09-10,16177,14661,218843.59,265013.19,7017,5317,green
2019-09-11,17501,15578,241765.47,291360.06,7586,5494,green
2019-09-12,18975,16932,260940.39,314848.57,8332,5909,green
2019-09-12,1,1,9.5,10.3,0,1,green
2019-09-13,19029,16714,256255.77,308544.47000000003,8199,6311,green
2019-09-13,1,1,6.5,7.3,0,1,green
2019-09-14,18840,15629,233733.44,280443.62,7444,6675,green
2019-09-15,15643,13056,197913.75,237360.64,6213,5366,green
2019-09-16,16351,14636,222891.19,268350.95,6987,5431,green
2019-09-17,16156,14789,234717.13,281310.68,7183,5156,green
2019-09-17,1,1,10.0,10.8,0,1,green
2019-09-18,17133,15767,251274.48,301177.68,7603,5423,green
2019-09-19,18098,16345,255363.91,307488.74,8050,5782,green
2019-09-19,2,2,16.0,17.6,1,1,green
2019-09-20,19217,17091,264516.58,317177.82,8118,6507,green
2019-09-21,20085,16428,242409.35,290535.96,7748,7113,green
2019-09-22,16056,13525,207348.73,247252.52,6505,5389,green
2019-09-23,16462,14862,231720.37,278021.63,7153,5487,green
2019-09-24,16284,15321,247356.0,296536.88,7440,5182,green
2019-09-25,17327,16140,261335.4,312300.71,7712,5506,green
2019-09-26,18294,16497,264979.3,318069.26,8083,5713,green
2019-09-27,19106,16789,261879.18,314345.01,7958,6287,green
2019-09-28,18124,15088,225443.12,270564.33,7118,6464,green
2019-09-29,14577,12517,193059.89,230631.43,5855,5078,green
2019-09-30,14222,12819,192110.42,231366.1,6004,4811,green
2019-09-30,1,1,6.5,9.36,1,0,green
2019-10-01,7,7,554.0,562.66,2,5,green
2019-10-01,15680,14268,217298.75,261193.62,6696,5385,green
2019-10-02,17397,16047,253027.96,303219.01,7619,5554,green
2019-10-03,18581,16954,262883.35,315718.02,8295,5911,green
2019-10-04,19331,17617,279896.24,334296.68,8358,6442,green
2019-10-04,1,1,7.0,9.36,1,0,green
2019-10-05,18884,16107,235182.82,283589.28,7732,6624,green
2019-10-06,15361,13257,199783.25,240496.65,6605,4982,green
2019-10-07,15846,14963,236915.26,283544.56,7037,5152,green
2019-10-08,16465,15534,244052.1,292431.77,7254,5401,green
2019-10-09,15131,14868,223529.45,272158.36,6628,5042,green
2019-10-10,2,2,13.5,15.100000000000001,0,2,green
2019-10-10,16745,16338,267074.0,320732.9,7243,5478,green
2019-10-10,1,1,5.0,5.8,0,1,green
2019-10-11,17937,17116,271239.5,327210.88,7479,6153,green
2019-10-11,1,1,16.5,20.76,1,0,green
2019-10-12,17713,15486,229461.05,276061.42,6836,6634,green
2019-10-12,1,1,4.5,5.3,0,1,green
2019-10-13,14712,13078,201441.9,241825.59,5742,5296,green
2019-10-14,12119,11148,169341.25,203809.36000000002,5151,4187,green
2019-10-15,15378,15043,244644.2,294903.15,6556,5163,green
2019-10-16,17685,16561,258171.48,311483.14,7944,5272,green
2019-10-17,17853,16698,268892.45,323938.35,8146,5375,green
2019-10-18,18792,17656,283742.24,341660.17,8183,6311,green
2019-10-19,17981,15794,238302.02,286892.55,7049,6424,green
2019-10-20,14696,12940,194186.99,233919.68,5783,4957,green
2019-10-21,14522,14811,243206.68,292377.8,6085,4973,green
2019-10-22,15259,15509,249053.98,300274.11,6677,4907,green
2019-10-23,15358,15696,261733.1,313716.77,6579,5090,green
2019-10-24,16317,16202,270900.87,325878.47000000003,6998,5241,green
2019-10-25,17579,16897,272854.04,327825.87,7222,5946,green
2019-10-26,17912,15684,240979.51,289926.06,6958,6433,green
2019-10-27,13606,11780,180873.34,218895.58000000002,5520,4370,green
2019-10-28,14383,14882,246678.49,295671.23,6102,4940,green
2019-10-29,15395,15636,256242.72,307622.35,6677,5114,green
2019-10-30,15468,15640,259013.91,311732.44,6694,5043,green
2019-10-30,2,2,11.0,12.6,0,2,green
2019-10-31,16197,16144,257713.38,311277.67,7056,5410,green
2019-10-31,2,2,23.0,26.16,1,1,green
2019-10-31,24,13,164.0,191.89000000000001,6,7,green
2019-10-31,1,1,24.0,24.8,0,1,green
2019-11-01,16,15,187.5,244.19,8,7,green
2019-11-01,18794,18096,281521.46,338018.24,7594,6852,green
2019-11-02,17795,15658,229424.38,276332.61,6799,6618,green
2019-11-02,3,3,27.0,35.56,1,2,green
2019-11-03,13707,12103,181971.48,217596.19,5211,4869,green
2019-11-03,3,3,22.5,26.14,1,2,green
2019-11-04,14946,15173,247679.96,296976.37,6265,5102,green
2019-11-05,14375,14325,227360.07,271100.28,6054,4857,green
2019-11-06,15568,15742,259400.1,311868.52,6897,4989,green
2019-11-07,17123,16834,266504.12,322171.54,7545,5527,green
2019-11-08,18426,17718,275704.21,332813.47000000003,7915,6140,green
2019-11-08,1,1,7.5,8.3,0,1,green
2019-11-09,17861,15662,223236.69,270395.53,7094,6375,green
2019-11-10,14204,12917,197093.36,237153.78,5694,4775,green
2019-11-11,13200,11912,178677.42,214635.85,5592,4315,green
2019-11-12,16148,16243,258547.28,312686.98,7278,5114,green
2019-11-13,1,1,11.0,11.8,1,0,green
2019-11-13,16110,15878,253644.26,306003.72000000003,7153,5047,green
2019-11-14,16644,16506,261576.06,316987.4,7379,5407,green
2019-11-15,17851,17153,267826.23,323122.31,7564,6018,green
2019-11-15,1,1,4.5,6.36,1,0,green
2019-11-16,17832,15678,227719.59,275701.95,7296,6147,green
2019-11-17,14157,12929,197990.83,237808.17,5802,4766,green
2019-11-18,15265,15044,234263.5,283283.28,6663,4962,green
2019-11-19,15108,14977,242162.36,291554.7,6545,4768,green
2019-11-20,16483,16021,254475.41,307885.32,7195,5162,green
2019-11-20,3,3,18.5,20.9,1,2,green
2019-11-21,16661,16244,262926.6,318409.23,7289,5340,green
2019-11-21,1,1,13.0,13.8,0,1,green
2019-11-22,18467,17558,273445.88,331068.41000000003,7877,6153,green
2019-11-23,17577,15367,228314.6,275743.35,7121,6081,green
2019-11-23,2,2,14.5,17.46,1,1,green
2019-11-24,2,2,23.5,28.91,1,1,green
2019-11-24,13699,12169,180002.33,218311.25,5605,4441,green
2019-11-25,14734,14504,233506.58,281377.4,6220,4942,green
2019-11-26,15600,15173,252156.4,303363.58,6539,5070,green
2019-11-27,16708,15807,247865.21,297719.4,6630,5989,green
2019-11-28,12719,11275,182058.86,216400.47,4704,4627,green
2019-11-29,13564,11730,164300.37,199270.39,4897,5270,green
2019-11-30,15407,13071,185460.82,222989.57,5830,5673,green
2019-11-30,7,7,68.0,80.76,2,5,green
2019-12-01,13,11,160.0,186.60000000000002,3,8,green
2019-12-01,13048,11145,153787.82,186029.66,5167,4386,green
2019-12-01,1,1,17.5,19.8,1,0,green
2019-12-02,14714,13933,206936.73,250928.59,6214,4831,green
2019-12-03,15462,15252,242161.61,291868.86,6711,5069,green
2019-12-04,15946,16076,260132.29,312820.05,6966,5221,green
2019-12-05,17043,17277,282098.52,340642.52,7297,5672,green
2019-12-06,18307,17883,283350.61,341705.01,7759,6104,green
2019-12-07,3,3,24.5,26.900000000000002,0,3,green
2019-12-07,18704,16501,241445.25,292545.43,7598,6415,green
2019-12-08,14114,13306,206689.66,248377.12,5733,4928,green
2019-12-09,15089,15030,239994.79,289002.78,6660,4922,green
2019-12-10,15528,15807,261113.72,313503.51,6759,4944,green
2019-12-11,15717,15955,258267.28,310208.31,6983,5106,green
2019-12-12,17469,17535,285828.31,342870.34,7416,5992,green
2019-12-13,1,1,10.5,11.3,0,1,green
2019-12-13,19186,18169,280918.3,340195.74,8042,6440,green
2019-12-14,17913,16253,246155.16,296804.4,7511,6126,green
2019-12-15,14915,13961,213129.73,256481.89,6171,5143,green
2019-12-15,2,2,9.5,13.1,1,1,green
2019-12-16,15353,15398,243800.11,293459.48,6592,5138,green
2019-12-17,15744,15708,248104.84,299081.12,7003,5100,green
2019-12-18,15944,16412,264761.26,317760.48,7172,5242,green
2019-12-18,5,1,3.5,4.81,1,0,green
2019-12-19,17821,17295,272830.15,330137.06,7853,5751,green
2019-12-20,17924,17326,273822.65,329499.44,7534,6303,green
2019-12-21,16274,14758,222349.99,266256.55,6091,6256,green
2019-12-22,12615,11807,185189.88,220128.94,4718,4747,green
2019-12-23,14409,13439,213879.84,255421.18,5099,5464,green
2019-12-24,14824,13128,191476.81,228627.94,4769,6229,green
2019-12-25,8305,7551,126261.46,149890.67,2717,3313,green
2019-12-26,11707,11128,170117.94,204118.75,4294,4697,green
2019-12-27,12971,12465,194864.09,232724.96,4792,5124,green
2019-12-28,13541,12129,185070.82,220779.04,4831,5295,green
2019-12-29,11565,11040,170229.67,202781.74,4337,4489,green
2019-12-30,13557,15055,241680.06,282559.44,5071,4924,green
2019-12-31,16256,16510,255349.48,299605.93,5659,6385,green
2019-12-31,22,18,191.58,234.21,8,10,green
2020-01-01,34,25,281.5,331.23,4,21,green
